relative,relative_mother,r1,r2,r3 f-rm,r4 r-m
Mother,Maternal GM,0.5,0.5,0.25,1
Father,Paternal GM,0.5,0,0.25,0
Full Sib,Mother,0.5,1,0.5,0.5
Maternal half sib,Mother,0.25,1,0.5,0.5
Paternal half sib,Unrelated,0.25,0,0,0
Maternal GP,Maternal great GM,0.25,0.25,0.125,0.25
Paternal GP,Paternal great GM,0.25,0,0.125,0
Maternal AU (FS),Maternal GM,0.25,0.5,0.25,0.5
Paternal AU (FS),Paternal GM,0.25,0,0.25,0
Maternal AU (PHS),Unrelated,0.125,0,0,0.25
Paternal AU (MHS),Paternal GM,0.125,0,0.25,0
Maternal AU (MHS),Maternal GM,0.125,0.25,0.25,0.25
Paternal AU (PHS),Unrelated,0.125,0,0,0
Cousin (dams FS),Maternal full aunt,0.125,0.5,0.25,0.25
Cousin (dam-uncle DS),Unrelated,0.125,0,0,0.25
Cousin (sire-aunt FS),Paternal full aunt,0.125,0,0.25,0
Cousin (sires FS),Unrelated,0.125,0,0,0
Cousin (dams HS),Maternal half aunt,0.0625,0.25,0.125,0.125
Cousin (dam-uncle HS),Unrelated,0.0625,0,0,0.125
Cousin (sire-aunt HS),Paternal half aunt,0.0625,0,0.125,0
Cousin (sires HS),Unrelated,0.0625,0,0,0