StudyCode,h2,h2.samp.err
4,0.36,0.18
4,0.76,0.135
6,0.48,0.12
7,0.74,0.45
7,0.55,0.43
7,0.26,0.43
7,0,0.18
7,0.51,0.19
7,0.38,0.18
7,0.29,0.14
7,0.06,0.08
7,0.19,0.15
7,0.2,0.13
7,0.39,0.15
7,0.06,0.02
7,0.02,0.01
7,0.01,0.01
7,0.3,0.08
7,0.03,0.02
9,0.038,0.069
10,0.006134969,0.045
11,0.599,0.12
11,0.463,0.09
12,0.73,0.6
12,0.332,0.074
12,0.68,0.207
12,0.61,0.05
12,0.161,0.07
12,0.38,0.077
12,0.221,0.064
12,0.121,0.053
14,0.205,0.134
14,0.145,0.161
14,0.269,0.13
17,0.011,0.063
17,0.072,0.089
17,0.049,0.078
17,0.191,0.159
17,0.176,0.142
17,0.247,0.247
17,0.348,0.206
17,0.326,0.095
19,0.11,0.045
18,0.09,0.11
18,0.07,0.085
18,0.19,0.095
18,0.12,0.055
18,0.14,0.065
18,0.21,0.062
18,0.09,0.06
18,0.17,0.065
18,0.12,0.035
18,0.14,0.04
24,0.192,0.16
26,0.3,0.19
26,0.12,0.08
27,0.61,0.39
27,0.08,0.36
27,0.001,0.29
31,0.002,0.054
33,0.24,0.04
33,0.11,0.02
33,0.13,0.03
33,0.07,0.04
33,0.35,0.21
33,0.13,0.01
33,0.14,0.01
33,0.28,0.02
35,0.49,0.31
35,0.42,0.15
41,0.307,0.1302
41,0.1278,0.03445
41,0.2452,0.10455
41,0.0737,0.0425
48,0.138666667,0.072666667
48,0.285,0.065333333
48,0.225,0.048
50,0.03,0.27
50,0.04,0.15
50,0.3,0.13
54,0.603,0.138
56,0.13,0.04
56,0.25,0.05
57,0.16,0.03
58,0.25,0.14
59,0.051,0.087
59,0.09,0.037
59,0.335,0.066
59,0.049,0.1605
59,0.149,0.099
59,0.026,0.0585
59,0.03,0.0175
59,0,0.035
59,0.049,0.115
59,0.068,0.1035
59,0,0.0895
59,0,0.0435
59,0.095,0.042
59,0.056,0.0675
59,0.079,0.052
59,0.049,0.0435
59,0.067,0.013
59,0.018,0.0405
60,0.039,0.0825
60,0,0.0265
60,0,0.087
60,0,0.0455
60,0.143,0.0145
60,0.024,0.0135
60,0.078,0.1255
60,0,0.113
60,0.21,0.0835
60,0,0.009
60,0.16,0.095
60,0.117,0.0585
60,0,0.06
60,0.123,0.0625
63,0.279,0.05349
66,0.495,0.1415
66,0.32,0.1755
71,0.072,0.144
71,0.072,0.144
71,0.372,0.168
71,0.524,0.218
71,0.461,0.15
71,0,0.001
71,0,0.003
71,0.293,0.12
71,0,0.054
71,0,0.056
71,0.006,0.086
71,0.25,0.071
71,0.112,0.067
72,0.166,0.245
72,0.176,0.14
74,0.23,0.09
74,0.22,0.05
74,0.22,0.16
76,0.22,0.11
76,0.03,0.03
76,0.26,0.08
76,0.21,0.06
76,0.13,0.04
76,0.08,0.04
76,0.14,0.06
76,0.26,0.03
76,0.09,0.04
76,0.17,0.05
76,0.36,0.05
76,0.08,0.04
76,0.2,0.05
76,0.34,0.03
76,0.19,0.05
76,0.2,0.04
76,0.19,0.04
76,0.21,0.05
76,0.18,0.03
76,0.02,0.01
76,0.08,0.02
78,0.99,0.175
78,0.74,0.115
78,0.37,0.07
78,0.65,0.065
79,0.79,0.09
79,0.63,0.065
81,0.051,0.049
81,0.046,0.0593
83,0.17,0.13
89,0.092,0.0415
89,0.118,0.0235
89,0.118,0.046
89,0.094,0.1345
89,0.094,0.078
89,0.081,0.122
89,0.135,0.03
89,0.022,0.005
89,0.101,0.052
89,0.099,0.1335
89,0.22,0.1655
89,0.081,0.0695
91,0.01,0.31
91,0.34,0.18
91,0.07,0.24
91,0.33,0.23
91,0.05,0.24
91,0.04,0.18
93,0.001,0.2545
93,0,0.015
93,0.002,0.249
93,0.374,0.097
93,0.001,0.1195
95,0.002,0.234
95,0.55,0.22
95,0.002,0.279
95,0.003,0.3435
95,0.54,0.2
95,0.007,0.6365
95,0.58,0.17
95,0.003,0.2835
95,0.002,0.244
95,0.66,0.21
95,0.002,0.184
95,0.003,0.3735
96,0.35,0.2
96,0.22,0.13
96,0.12,0.12
96,0.26,0.14
96,0,0.23
96,0.27,0.18
96,0.1,0.14
96,0.14,0.1
96,0.14,0.17
96,0.26,0.17
96,0.67,0.27
96,0.095,0.14
96,0.2,0.3
96,0,0.15
99,0.087,0.097
99,0.073,0.0595
99,0.091,0.041
99,0.085,0.046
99,0.079,0.0265
99,0.109,0.0505
100,0.052,0.102
100,0.306,0.097
100,0.136,0.102
100,0.023,0.043
100,0.175,0.054
100,0.167,0.047
101,0.25,0.14
101,0.13,0.16
104,0.31,0.16
104,0.21,0.07
106,0.372,0.073
109,0.59,0.13
113,0.038,0.061
113,0.257,0.115
119,0.025,0.035
119,0.272,0.055
125,0.13,0.135
125,0.11,0.105
125,0.1,0.145
125,0.18,0.12
125,0.15,0.084183673
125,0.26,0.125
125,0.16,0.076530612
125,0.13,0.06122449
125,0.64,0.265
125,0.21,0.14
125,0.2,0.135
125,0.15,0.295
126,0.19,0.04
128,0.05,0.42
128,0.15,0.37
128,0.26,0.3
128,0.74,0.23
129,0.044,0.039
129,0.356,0.055
129,0.314,0.032
129,0.437,0.028
130,0.82,0.19
130,0.61,0.29
130,0.46,0.1
133,0.08,0.055
133,0.12,0.05
133,0.09,0.05
139,0.382,0.079
139,0.25,0.084
143,0.39,0.25
143,0.18,0.09
143,0.059,0.051
143,0.17,0.06
144,0.133,0.097
144,0.254,0.067
144,0.319,0.089
144,0.253,0.078
144,0.038,0.105
144,0.141,0.063
145,0.114,0.061
145,0.072,0.044
145,0.109,0.052
149,0.444,0.066
149,0.437,0.066
149,0.434,0.065
149,0.28,0.046
149,0.372,0.057
149,0.283,0.045